flight_number,origin,destination,departure_time,aircraft_type,occurrences
4Y1603,BJV,FRA,08:55,320,63
4Y2002,FRA,LRM,10:15,333,40
4Y2003,LRM,FRA,22:25,333,37
4Y2004,FRA,MBJ,10:05,333,13
4Y2005,MBJ,FRA,23:15,333,11
4Y2006,FRA,BGI,10:45,333,12
4Y2007,BGI,FRA,23:00,333,12
4Y2008,FRA,FDF,10:05,333,12
4Y2009,FDF,FRA,23:55,333,12
4Y2010,FRA,BGI,07:30,333,11
4Y2011,BGI,FRA,19:55,333,12
4Y2016,FRA,LRM,07:30,333,12
4Y2017,LRM,FRA,19:40,333,12
4Y202,FRA,RAK,10:00,320,140
4Y203,RAK,FRA,14:30,320,141
4Y204,FRA,RAK,19:50,320,62
4Y205,RAK,FRA,00:15,320,60
4Y2050,FRA,LPA,09:10,320,29
4Y2051,LPA,FRA,14:50,320,29
4Y2052,FRA,FCO,04:40,320,3
4Y2053,FCO,FRA,07:15,320,3
4Y2055,HAM,FRA,20:45,320,1
4Y2056,FRA,PMI,03:50,320,34
4Y2057,PMI,FRA,06:55,320,34
4Y206,FRA,HRG,10:00,320,186
4Y2060,FRA,BCN,04:00,320,30
4Y2061,BCN,FRA,07:00,320,30
4Y2062,FRA,AYT,06:30,320,1
4Y2063,AYT,FRA,11:00,320,1
4Y207,HRG,FRA,15:15,320,186
4Y208,FRA,RMF,09:45,320,4
4Y209,RMF,FRA,15:15,320,4
4Y210,FRA,DJE,02:45,320,75
4Y2100,FRA,LRM,10:30,333,29
4Y2101,LRM,FRA,22:50,333,27
4Y2102,FRA,BGI,11:40,333,15
4Y2103,BGI,FRA,01:30,333,16
4Y2104,FRA,MBJ,11:30,333,17
4Y2105,MBJ,FRA,00:35,333,17
4Y2106,FRA,LRM,08:30,332,30
4Y2107,LRM,FRA,20:40,332,28
4Y211,DJE,FRA,06:25,320,75
4Y214,FRA,MIR,03:25,320,62
4Y215,MIR,FRA,06:40,320,62
4Y2150,FRA,PMI,03:25,320,8
4Y2151,PMI,FRA,06:15,320,8
4Y2152,FRA,HER,02:50,320,26
4Y2153,HER,FRA,06:35,320,26
4Y2154,FRA,CHQ,09:00,320,6
4Y2155,CHQ,FRA,12:50,320,9
4Y2160,FRA,TRS,06:40,320,1
4Y2161,TRS,FRA,10:55,320,1
4Y2162,FRA,GOA,08:00,320,4
4Y2163,GOA,FRA,10:00,320,4
4Y2164,FRA,OPO,10:15,320,9
4Y2165,OPO,FRA,15:30,320,10
4Y2167,GOA,FRA,14:40,320,1
4Y2170,FRA,TFS,08:05,320,1
4Y2171,TFS,FRA,13:45,320,1
4Y2414,FRA,JKG,06:40,320,11
4Y2415,JKG,FRA,07:30,320,10
4Y2500,FRA,ZAD,07:50,320,1
4Y2501,ZAD,FRA,08:00,320,1
4Y300,FRA,FUE,11:00,320,135
4Y301,FUE,FRA,16:20,320,137
4Y302,FRA,LPA,09:05,320,304
4Y303,LPA,FRA,14:45,320,307
4Y306,FRA,TFS,10:10,320,309
4Y307,TFS,FRA,15:55,320,310
4Y308,FRA,ACE,09:05,320,167
4Y309,ACE,FRA,16:20,320,166
4Y310,FRA,SPC,09:15,320,39
4Y311,SPC,FRA,14:55,320,39
4Y317,ACE,FRA,14:20,320,1
4Y322,FRA,LPA,09:05,320,18
4Y323,LPA,FRA,15:00,320,18
4Y328,FRA,ACE,08:50,320,2
4Y329,ACE,FRA,14:30,320,2
4Y356,FRA,TFS,10:00,320,1
4Y357,TFS,FRA,16:15,320,1
4Y4070,FRA,GKE,09:00,320,4
4Y4073,DRS,FRA,12:30,320,2
4Y4075,GKE,FRA,16:20,320,1
4Y4077,GKE,FRA,15:40,320,1
4Y4080,FRA,MUC,08:00,333,48
4Y4081,MUC,FRA,06:30,333,43
4Y4082,FRA,MUC,05:35,333,7
4Y4083,MUC,FRA,05:25,333,6
4Y4084,FRA,BER,12:50,320,2
4Y4086,FRA,ZAG,05:40,320,6
4Y4087,MUC,FRA,09:51,320,4
4Y4088,FRA,GOA,12:35,320,1
4Y4089,JKG,FRA,09:20,320,1
4Y4090,FRA,AMM,05:20,332,7
4Y4091,AMM,FRA,07:10,320,8
4Y4092,FRA,AMM,13:00,333,1
4Y4093,AMM,FRA,08:50,333,1
4Y4095,SIN,FRA,00:30,333,7
4Y4096,FRA,SIN,07:40,333,3
4Y4097,AMM,FRA,12:00,332,1
4Y500,FRA,XRY,06:50,320,31
4Y501,XRY,FRA,10:35,320,30
4Y512,FRA,PMI,07:50,320,412
4Y513,PMI,FRA,10:45,320,415
4Y514,FRA,PMI,14:05,320,418
4Y515,PMI,FRA,16:55,320,422
4Y516,FRA,PMI,12:00,320,73
4Y517,PMI,FRA,14:55,320,74
4Y518,FRA,PMI,12:20,320,27
4Y519,PMI,FRA,15:25,320,27
4Y530,FRA,IBZ,07:35,320,266
4Y531,IBZ,FRA,10:45,320,267
4Y536,FRA,MAH,11:35,320,34
4Y537,MAH,FRA,14:35,320,35
4Y600,FRA,CDG,15:35,320,18
4Y601,CDG,FRA,17:40,320,18
4Y614,FRA,MPL,08:00,320,38
4Y615,MPL,FRA,10:05,320,38
4Y700,FRA,FNC,04:45,320,1
4Y701,FNC,FRA,09:35,320,1
4Y702,FRA,FNC,09:55,320,261
4Y703,FNC,FRA,14:35,320,257
4Y706,FRA,FNC,09:55,320,1
4Y707,FNC,FRA,15:00,320,1
4Y722,FRA,FNC,08:20,320,1
4Y802,FRA,BRI,02:45,320,142
4Y803,BRI,FRA,05:30,320,142
4Y806,FRA,BDS,06:35,320,9
4Y807,BDS,FRA,09:40,320,9
4Y900,FRA,DBV,14:20,320,249
4Y901,DBV,FRA,16:55,320,251
4Y910,FRA,ZAD,16:30,320,117
4Y911,ZAD,FRA,18:50,320,117
4Y912,FRA,SPU,14:15,320,217
4Y913,SPU,FRA,16:40,320,217
4Y920,FRA,ZAD,09:35,320,6
4Y921,ZAD,FRA,11:55,320,6
4Y922,FRA,PUY,03:55,320,8
4Y923,PUY,FRA,06:05,320,8
57051,EBMB,MUC,10:00,AN4,2
5F5737,RMO,AMS,10:30,321,44
5F5738,AMS,RMO,14:30,321,42
5F737,RMO,AMS,09:30,321,99
5F738,AMS,RMO,13:30,321,92
5O151,AMS,LIL,05:50,73M,1
5O152,LIL,AMS,17:15,73M,1
5O199,AMS,MAN,06:30,738,2
5Y001,MIA,AMS,05:15,744,1
5Y332,MIA,AMS,09:10,77L,1
5Y333,AMS,KGF,21:10,77L,1
5Y346,MIA,AMS,21:10,772,1
5Y3580,AMS,ICN,10:35,77L,1
5Y3593,GYD,AMS,03:15,77L,1
5Y5219,UIO,AMS,02:10,747,31
5Y5421,MIA,AMS,22:25,747,61
5Y7481,BHM,AMS,01:45,747,11
5Y8008,AMS,LUX,07:00,772,1
5Y8028,UIO,AMS,07:30,747,41
5Y8090,AMS,SOF,16:10,744,1
5Y8110,AMS,MXP,09:05,744,1
5Y8133,AMS,PVG,07:00,744,1
5Y8146,AMS,ICN,09:25,744,4
5Y8148,AMS,ICN,09:50,744,6
5Y8153,CKG,AMS,04:40,744,31
5Y8154,AMS,ORD,19:35,744,38
5Y8157,CKG,AMS,04:45,744,26
5Y8158,AMS,ORD,06:00,744,41
5Y8185,AMS,ICN,14:15,747,58
5Y8187,AMS,ICN,12:00,747,54
5Y8209,AMS,ICN,14:35,747,88
5Y8229,AMS,ALA,19:30,747,57
5Y8352,AMS,GYD,13:10,744,1
5Y8414,MIA,AMS,22:00,747,1
5Y8519,AMS,LGG,09:20,744,1
5Y8643,AMS,TPE,06:05,747,11
5Y8765,AMS,PEN,11:10,744,1
5Y8803,AMS,IUD,19:35,744,1
5Y8995,AMS,KWI,19:15,744,1
5Y9003,EMA,AMS,15:58,772,1
5Y9121,AMS,ICN,16:10,744,1
5Y9145,AMS,HAN,09:45,744,1
5Y9153,ZAZ,AMS,14:40,747,1
5Y9154,AMS,ICN,10:25,744,4
5Y9158,AMS,ICN,15:40,744,3
5Y917,AUH,AMS,00:30,772,1
5Y918,AMS,AUH,11:18,772,1
5Y9197,AMS,ICN,09:30,744,1
5Y9299,MIA,AMS,21:45,744,1
5Y9353,AMS,XMN,15:10,772,1
5Y9436,ORD,AMS,22:50,747,1
5Y9476,AMS,HKG,10:00,747,1
5Y9549,AMS,HKG,10:00,744,1
5Y9572,AMS,HKG,16:45,744,1
5Y9579,AMS,ICN,10:30,744,1
5Y9588,AMS,EMA,10:57,744,2
5Y9590,AMS,EMA,11:25,744,2
5Y9592,AMS,ICN,09:34,744,4
5Y9594,MIA,AMS,21:55,744,1
5Y9596,MIA,AMS,22:08,744,2
5Y9602,AMS,IUD,19:10,744,1
5Y9789,AMS,HKG,15:50,744,2
5Y9793,AMS,HKG,11:18,744,1
5Y9857,AUH,AMS,11:30,772,1
5Y9858,AMS,AUH,19:40,772,1
6E0021,BOM,AMS,00:40,787,168
6E0022,AMS,BOM,12:30,787,163
6E021,BOM,AMS,00:00,787,27
6E022,AMS,BOM,12:00,787,27
6E9390,AMS,OSL,12:00,787,1
6E9801,AMS,MAN,08:20,787,3
7L1574,ABV,AMS,07:00,744,1
7L201,GYD,AMS,07:30,744,58
7L202,AMS,GYD,16:00,744,49
7L203,GYD,AMS,07:30,744,58
7L204,AMS,GYD,16:00,744,50
7L205,GYD,AMS,07:30,747,60
7L206,AMS,GYD,16:00,744,51
7L207,GYD,AMS,07:30,772,60
7L208,AMS,GYD,16:00,772,55
7L4211,GYD,AMS,02:00,744,2
7L4212,AMS,GYD,10:30,744,2
8H6001,SOF,AMS,12:52,319,1
8H6002,AMS,SOF,21:50,319,1
90004,AMS,ADW,15:30,752,1
9HDEE1,FMO,AMS,15:00,E90,1
9HJOY1,LBG,AMS,13:10,CR2,1
A2628,CLJ,FRA,08:20,220,5
A2629,FRA,CLJ,11:15,220,5
A34022,ATH,AMS,02:00,320,1
A34025,AMS,ATH,14:40,320,1
A34080,ATH,AMS,08:30,320,1
A34081,AMS,ATH,13:15,320,1
A3518,SKG,AMS,12:50,320,38
A3519,AMS,SKG,17:00,320,38
A36120,ATH,AMS,16:00,320,1
A36123,AMS,ATH,06:30,320,1
A36124,ATH,AMS,10:24,320,1
A36180,SKG,AMS,08:50,320,1
A36181,AMS,ATH,13:00,320,1
A3624,ATH,AMS,05:30,321,419
A3625,AMS,ATH,10:05,321,416
A3626,ATH,AMS,11:35,321,50
A3627,AMS,ATH,16:10,321,49
A90651,TBS,AMS,02:40,737,181
A90652,AMS,TBS,09:20,737,176
AA070,DFW,FRA,21:15,788,352
AA071,FRA,DFW,08:55,788,364
AA203,AMS,PHL,12:05,788,386
AA204,PHL,AMS,23:10,788,387
AA220,DFW,AMS,20:35,788,163
AA221,AMS,DFW,08:55,788,166
AA704,CLT,FRA,20:45,772,382
AA705,FRA,CLT,07:20,772,393
AA9601,FRA,CLT,07:30,788,6
AA9602,FRA,AMS,00:45,788,3
AA9603,AMS,FRA,10:47,788,3
AA9605,FRA,CLT,09:50,772,1
AA9615,AMS,DFW,06:30,772,1
AA9781,FRA,MIA,20:00,772,1
AC043,DEL,YYZ,08:35,77W,4
AC047,FRA,YYZ,18:20,787,50
AC050,YUL,FRA,02:25,787,2
AC051,FRA,YUL,05:00,787,2
AC057,FRA,YYZ,21:30,787,4
AC2051,FRA,YUL,07:30,787,2
AC2059,FRA,YYZ,12:05,787,1
AC2108,FRA,AMS,10:30,333,1
AC2109,AMS,YYZ,13:30,333,2
AC2137,FRA,YYZ,10:05,333,1
AC2145,FRA,YUL,11:00,333,1
AC2153,FRA,YYZ,12:15,333,1
AC2344,FRA,RZE,14:15,787,8
AC2345,RZE,FRA,10:15,787,8
AC7053,CPH,FRA,15:00,333,1
AC7059,FRA,YYZ,12:00,333,1
AC7065,FRA,YUL,12:00,333,2
AC7069,AMS,YYZ,08:20,788,1
AC7074,DUB,FRA,11:00,787,1
AC7076,FRA,BRU,08:40,333,2
AC7077,BRU,FRA,06:05,333,2
AC7079,OTP,FRA,12:25,763,1
AC7132,PUJ,AMS,06:00,763,2
AC7209,FRA,YYZ,11:10,763,1
AC7210,YYZ,FRA,20:00,763,4
AC7211,FRA,YYZ,06:50,763,3
AC7213,FRA,YYZ,12:15,763,1
AC7311,AMS,YYZ,14:25,763,1
AC808,YYZ,AMS,01:30,788,408
AC809,AMS,YYZ,10:15,788,399
AC837,MUC,FRA,09:50,333,1
AC838,YVR,FRA,20:15,787,196
AC839,FRA,YVR,08:15,787,201
AC840,YYZ,FRA,20:30,333,404
AC841,FRA,YYZ,08:00,333,407
AC842,YYZ,FRA,01:10,333,400
AC843,FRA,YYZ,15:05,333,400
AC844,YUL,FRA,22:35,333,407
AC845,FRA,YUL,07:55,333,414
AC846,YUL,FRA,01:45,787,73
AC847,FRA,YUL,15:35,787,73
AC886,YYZ,FRA,11:30,788,2
AC897,AMS,YYZ,11:00,77W,2
AC900,YUL,AMS,01:30,788,231
AC901,AMS,YUL,10:35,788,228
AF001,ADW,AMS,09:50,747,1
AF1,ADW,SNN,04:30,752,2
AF1018,CDG,FRA,18:45,E90,419
AF1019,FRA,CDG,05:05,E90,410
AF1118,CDG,FRA,16:55,E90,110
AF1119,FRA,CDG,19:05,E90,108
AF1140,CDG,AMS,14:25,220,356
AF1141,AMS,CDG,16:40,220,354
AF1218,CDG,FRA,11:00,E75,30
AF1219,FRA,CDG,13:10,E75,30
AF1240,CDG,AMS,05:10,320,390
AF1241,AMS,CDG,07:30,320,386
AF1310,CDG,FRA,18:10,E90,1
AF1318,CDG,FRA,14:25,E90,318
AF1319,FRA,CDG,16:30,E90,317
AF1340,CDG,AMS,06:15,220,416
AF1341,AMS,CDG,08:35,220,412
AF1436,CDG,AMS,11:30,220,243
AF1437,AMS,CDG,13:50,220,242
AF1440,CDG,AMS,15:50,220,417
AF1441,AMS,CDG,18:20,220,412
AF1444,CDG,AMS,07:15,220,242
AF1445,AMS,CDG,09:35,220,238
AF1500,CDG,AMS,09:15,220,174
AF1501,AMS,CDG,11:35,220,173
AF1518,CDG,FRA,05:40,E90,277
AF1519,FRA,CDG,07:45,E90,270
AF1618,CDG,FRA,08:50,E90,307
AF1619,FRA,CDG,10:10,E90,300
AF1640,CDG,AMS,09:45,220,392
AF1641,AMS,CDG,12:05,220,389
AF1650,CDG,AMS,12:25,220,173
AF1651,AMS,CDG,14:45,220,172
AF1700,TLS,AMS,05:15,E90,97
AF1701,AMS,TLS,19:35,E90,93
AF1740,CDG,AMS,10:15,220,374
AF1741,AMS,CDG,12:35,220,371
AF1764,AMS,BLL,21:00,E90,1
AF1794,LYS,AMS,05:00,E90,296
AF1795,AMS,LYS,07:35,E90,385
AF1796,LYS,AMS,10:00,E90,383
AF1797,AMS,LYS,12:35,E90,374
AF1798,LYS,AMS,16:15,E90,387
AF1799,AMS,LYS,18:45,E90,291
AF1818,CDG,FRA,15:50,E90,156
AF1819,FRA,CDG,17:55,E90,155
AF1840,CDG,AMS,12:30,220,370
AF1841,AMS,CDG,14:50,220,367
AF9350,AMS,CDG,09:40,E90,1
AF9351,FRA,CDG,06:50,E90,1
AF9354,AMS,CDG,12:35,E90,1
AF9370,FRA,CDG,12:00,E90,10
AF9371,FRA,CFE,10:15,E90,1
AF9372,FRA,CDG,06:45,E90,1
AH1506,ALG,CDG,16:30,320,1
AH2070,ALG,FRA,09:15,738,205
AH2071,FRA,ALG,13:30,738,167
AH2073,FRA,ALG,13:30,738,1
AH2808,ALG,FRA,07:20,738,1
AH2809,FRA,ALG,10:30,738,1
AI1161,FRA,LHR,13:05,350,1
AI120,FRA,DEL,07:00,787,9
AI155,DEL,AMS,06:50,788,412
AI156,AMS,DEL,18:40,788,381
AI161,DEL,FRA,21:05,350,1
AI187,FRA,YYZ,14:00,77W,2
AI188,YYZ,FRA,08:30,77W,4
AI193,DEL,FRA,03:10,350,1
AI2025,DEL,FRA,23:45,787,302
AI2026,FRA,DEL,10:10,787,281
AI2027,BOM,FRA,06:30,787,305
AI2028,FRA,BOM,18:20,787,299
AI2029,DEL,FRA,08:10,787,423
AI2030,FRA,DEL,19:15,787,388
AI3040,AMS,ISL,10:00,788,1
AM0025,MEX,AMS,05:45,788,425
AM0026,AMS,MEX,20:15,788,422
AM9484,AMS,MEX,17:05,787,1
AM9485,LHR,AMS,11:20,787,1
AP1077,FRA,MAD,06:00,738,1
AP1078,MAD,FRA,01:00,738,1
AP1221,FRA,ALC,05:35,738,1
AP1222,ALC,FRA,11:20,738,1
AP1755,PMI,FRA,13:30,738,3
AP1756,FRA,PMI,17:00,738,3
AT1630,TNG,AMS,06:10,320,21
AT1631,AMS,TNG,10:10,320,14
AT1656,NDR,AMS,06:05,320,20
AT1657,AMS,NDR,10:10,320,17
AT1694,NDR,FRA,13:40,320,15
AT1695,FRA,NDR,17:40,320,15
AT352,FRA,BRU,08:00,763,6
AT620,AHU,AMS,08:00,738,4
AT621,AMS,AHU,10:45,738,8
AT670,TNG,AMS,06:10,738,7
AT671,AMS,TNG,10:10,738,12
AT694,NDR,FRA,14:10,738,9
AT695,FRA,NDR,18:10,738,15
AT698,NDR,AMS,06:05,738,6
AT699,AMS,NDR,10:10,738,12
AT7810,CMN,FRA,06:28,788,1
AT7811,FRA,CMN,10:55,738,2
AT7851,AMS,CMN,19:00,73M,1
AT810,CMN,FRA,11:25,738,417
AT811,FRA,CMN,15:55,738,401
AT850,CMN,AMS,11:30,738,422
AT851,AMS,CMN,16:00,738,410
AT852,CMN,AMS,08:00,738,4
AT8620,CMN,AMS,06:05,738,4
AT8621,AMS,CMN,12:30,738,4
AT8630,TNG,AMS,06:45,320,1
AT8631,AMS,TNG,10:10,320,8
AT8656,NDR,AMS,05:51,320,2
AT8657,AMS,NDR,10:10,320,5
AT8670,TNG,AMS,06:10,738,5
AT8694,NDR,FRA,13:40,320,13
AT8695,FRA,NDR,17:40,320,8
AT8698,NDR,AMS,06:05,738,6
AT8894,CMN,FRA,01:30,738,1
AY1301,HEL,AMS,05:10,350,416
AY1302,AMS,HEL,09:55,350,412
AY1305,HEL,AMS,13:00,321,417
AY1306,AMS,HEL,16:45,321,414
AY1411,HEL,FRA,04:40,320,396
AY1412,FRA,HEL,09:30,320,396
AY1415,HEL,FRA,13:55,320,406
AY1416,FRA,HEL,17:20,320,405
AY8931,AMS,HEL,07:30,320,1
AZ107,AMS,FCO,09:55,321,397
AZ108,FCO,AMS,06:30,321,404
AZ109,AMS,FCO,15:55,320,402
AZ110,FCO,AMS,12:35,320,417
AZ112,LIN,AMS,15:20,220,381
AZ113,AMS,LIN,18:05,220,378
AZ114,LIN,AMS,10:00,220,171
AZ115,AMS,LIN,12:55,220,164
AZ118,LIN,AMS,19:45,319,81
AZ119,AMS,LIN,06:05,319,80
AZ120,LIN,AMS,07:05,220,396
AZ121,AMS,LIN,10:50,220,389
AZ400,FCO,FRA,06:45,320,261
AZ403,FRA,FCO,09:40,320,259
AZ404,FCO,FRA,13:25,320,353
AZ407,FRA,FCO,16:15,320,347
AZ408,LIN,FRA,11:55,220,57
AZ409,FRA,LIN,14:05,220,57
AZ410,LIN,FRA,16:35,220,73
AZ413,FRA,LIN,08:10,220,73
AZ416,LIN,FRA,06:00,220,73
AZ419,FRA,LIN,18:45,220,73
AZ8001,LIN,AMS,15:35,220,1
AZ8007,AMS,LIN,11:30,220,2
AZ8008,AMS,BRU,10:40,320,1
AZ8016,AMS,FCO,16:00,319,1
AZ8018,AMS,FCO,11:00,320,1
AZ8407,FRA,FCO,08:00,320,1
AZ8950,FCO,AMS,15:00,320,1
AZ8951,AMS,FCO,22:15,320,1
AZ9002,BLQ,AMS,14:50,320,1
AZ9003,AMS,BLQ,18:30,220,1
AZ9019,AMS,MXP,22:46,320,1
AZ9470,VIE,FRA,10:00,767,2
AZ9481,FRA,CGN,13:30,767,2
AZ9614,FCO,OLB,16:30,AT7,1
AZ9920,FCO,AMS,18:50,320,1
AZ9921,AMS,FCO,18:25,320,1
AZ9924,FCO,AMS,15:25,220,1
AZ9925,AMS,LIN,17:55,320,1
AZ9930,FCO,AMS,19:20,320,1
B60031,BOS,AMS,02:35,321,317
B60032,AMS,BOS,09:20,321,315
B62288,JFK,AMS,23:35,321,291
B62289,AMS,JFK,11:40,321,292
B68088,JFK,AMS,23:00,321,1
B68089,AMS,JFK,08:00,321,2
B68509,AMS,CDG,13:45,321,1
B99701,IST,IKA,18:00,AB3,1
BA118,BLR,AMS,01:45,772,1
BA330,AMS,LHR,19:00,321,1
BA423,AMS,LHR,06:00,320,288
BA428,LHR,AMS,05:50,320,257
BA429,AMS,LHR,08:15,320,256
BA430,LHR,AMS,07:20,320,394
BA431,AMS,LHR,09:40,319,387
BA432,LHR,AMS,08:15,319,286
BA433,AMS,LHR,15:45,319,282
BA434,LHR,AMS,10:50,320,321
BA435,AMS,LHR,13:00,320,316
BA436,LHR,AMS,10:55,320,209
BA437,AMS,LHR,13:15,320,207
BA438,LHR,AMS,12:45,319,380
BA439,AMS,LHR,14:10,319,378
BA440,LHR,AMS,15:10,320,369
BA441,AMS,LHR,16:25,320,366
BA442,LHR,AMS,17:15,320,353
BA443,AMS,LHR,19:35,320,309
BA444,LHR,AMS,18:30,320,368
BA445,AMS,LHR,18:40,320,117
BA446,LHR,AMS,14:05,320,173
BA447,AMS,LHR,16:25,320,159
BA448,LHR,AMS,19:25,320,162
BA449,AMS,LHR,06:00,320,176
BA450,LHR,AMS,15:10,320,70
BA451,AMS,LHR,17:35,320,70
BA7035,FRA,LCY,15:25,E90,1
BA7036,LCY,FRA,10:15,E90,1
BA7319,STN,AMS,09:55,E90,15
BA8450,AMS,LCY,05:45,E90,281
BA8451,LCY,AMS,08:40,E90,220
BA8452,AMS,LCY,09:25,E90,224
BA8453,LCY,AMS,13:30,E90,232
BA8454,AMS,LCY,15:20,E90,240
BA8455,LCY,AMS,14:30,E90,339
BA8456,AMS,LCY,16:15,E90,337
BA8457,LCY,AMS,18:55,E90,326
BA8458,AMS,LCY,17:50,E90,247
BA8459,LCY,AMS,17:05,E90,251
BA8460,AMS,LCY,12:45,E90,194
